Material,Description,Thai Desc.,Pack Size,Product Group,Shelflife (Months),Bar Code EA,Bar Code DSP,Bar Code CS
6000017,Whey Sweet Pwdr Heat Stable 25kg Hal,25kg Hal,-,-,-,6000017,-,-
6005365,Whey Sweet Pwd 25kg Hal Act29 (AEO),25kg Hal Act29 (AEO),-,-,-,6005365,-,-
6000016,Milk Skimmed Pwd Regular 25kg, 25kg,-,-,-,6000016,-,-
6000136,Milk Skimmed Pwd UHT 25kg,25kg,-,-,-,6000136,-,-
6000140,Milk Skimmed Pwd BOI 25kg,25kg,-,-,-,6000140,-,-
6003580,Milk Skimmed Pwd 25kg Act 29 (AEO),25kg Act 29 (AEO),-,-,-,6003580,-,-
6000156,Buttermilk Pwdr Sweet 5% Sterilized 25kg,25kg,-,-,-,6000156,-,-
6000157,Buttermilk Pwdr Sweet 7% Ster 25kg Exp,25kg Exp,-,-,-,6000157,-,-
6003222,Partly Skimmed Milk Powder,-,-,-,-,6003222,-,-
6004855,Anhydrous Milkfat SMF27,-,-,-,-,6004855,-,-
6006167,Milk Permeate Powder,-,-,-,-,6006167,-,-